6,4,왕하 7-9,요 9:1-34
6,5,왕하 10,요 9:35-41
6,6,왕하 11-13,요 10
6,7,왕하 14-15,요 11:1-16
6,8,왕하 16-17,요 11:17-37
6,9,왕하 18-19,요 11:38-57
6,10,왕하 20-21,요 12:1-11
6,11,왕하 22-25,요 12:12-50
6,12,대상 1,요 13:1-20
6,13,대상 2,요 13:21-38
6,14,대상 3-4,요 14
6,15,대상 5-6,요 15:1-17
6,16,대상 7,요 15:18-27
6,17,대상 8,요 16
6,18,대상 9,요 17
6,19,대상 10-11,요 18:1-11
6,20,대상 12-13,요 18:12-40
6,21,대상 14-16,요 19:1-16
6,22,대상 17-18,요 19:17-42
6,23,대상 19-21,요 20
6,24,대상 22-24,요 21:1-14
6,25,대상 25-26,요 21:15-25
6,26,대상 27-29,행 1
6,27,대하 1-2,행 2:1-36
6,28,대하 3-5,행 2:37-47
6,29,대하 6-7,행 3
6,30,대하 8-10,행 4:1-22
7,1,대하 11-13,행 4:23-37
7,2,대하 14-17,행 5:1-16
7,3,대하 18-20,행 5:17-42
7,4,대하 21-22,행 6, 행 7:1-16
7,5,대하 23-25,행 7:17-29
7,6,대하 26-28,행 7:30-60
7,7,대하 29-30,행 8:1-13
7,8,대하 31-32,행 8:14-40
7,9,대하 33-36,행 9:1-16
7,10,스 1-2,행 9:17-43
7,11,스 3,행 10:1-23
7,12,스 4-6,행 10:24-48
7,13,스 7-8,행 11
7,14,스 9-10,행 12:1-19
7,15,느 1-3,행 12:20-25
7,16,느 4-6,행 13:1-42
7,17,느 7,행 13:43-52
7,18,느 8-9,행 14
7,19,느 10-11,행 15:1-21
7,20,느 12-13,행 15:22-41
7,21,에 1-2,행 16:1-10
7,22,에 3-5,행 16:11-40
7,23,에 6-10,행 17
7,24,욥 1-3,행 18:1-11
7,25,욥 4-5,행 18:12-28
7,26,욥 6-8,행 19:1-22
7,27,욥 9-10,행 19:23-41
7,28,욥 11-13,행 20
7,29,욥 14-15,행 21:1-6
7,30,욥 16-18,행 21:7-40
7,31,욥 19-20,행 22
8,1,욥 21-22,행 23:1-11
8,2,욥 23-26,행 23:12-35
8,3,욥 27-29,행 24
8,4,욥 30-31,행 25:1-12
8,5,욥 32-33,행 25:13-27
8,6,욥 34-35,행 26
8,7,욥 36-37,행 27:1-26
8,8,욥 38-39,행 27:27-44
8,9,욥 40-42,행 28
8,10,시 1-6,롬 1:1-7
8,11,시 7-10,롬 1:8-32
8,12,시 11-17,롬 2
8,13,시 18-19,롬 3:1-20
8,14,시 20-24,롬 3:21-31
8,15,시 25-28,롬 4
8,16,시 29-33,롬 5
8,17,시 34-35,롬 6
8,18,시 36-38,롬 7
8,19,시 39-42,롬 8:1-17
8,20,시 43-46,롬 8:18-39
8,21,시 47-50,롬 9
8,22,시 51-55,롬 10
8,23,시 56-60,롬 11:1-10
8,24,시 61-66,롬 11:11-36
8,25,시 67-69,롬 12
8,26,시 70-72,롬 13-14
8,27,시 73-74,롬 15:1-13
8,28,시 75-78,롬 15:14-33
8,29,시 79,롬 16
8,30,시 80-83,고전 1
8,31,시 84-88,고전 2
9,1,시 89-90,고전 3
9,2,시 91-94,고전 4
9,3,시 95-101,고전 5
9,4,시 102-104,고전 6
9,5,시 105,고전 7:1-24
9,6,시 106-107,고전 7:25-40
9,7,시 108-109,고전 8-9
9,8,시 110-115,고전 10:1-22
9,9,시 116-118,고전 10:23-33
9,10,시 119,고전 11
9,11,시 120,고전 12:1-11
9,12,시 121,고전 12:12-31
9,13,시 122-131,고전 13:1-14:25
9,14,시 132-136,고전 14:26-40
9,15,시 137-141,고전 15:1-11
9,16,시 142-146,고전 15:12-34
9,17,시 147-150,고전 15:35-58
9,18,잠 1-3,고전 16
9,19,잠 4-5,고후 1
9,20,잠 6-7,고후 2
9,21,잠 8-9,고후 3
9,22,잠 10-12,고후 4
9,23,잠 13-14,고후 5
9,24,잠 15-16,고후 6
9,25,잠 17-18,고후 7-8
9,26,잠 19-20,고후 9
9,27,잠 21-22,고후 10
9,28,잠 23-24,고후 11
9,29,잠 25-27,고후 12
9,30,잠 28-29,고후 13
10,1,잠 30-31,갈 1
10,2,전 1-3,갈 2
10,3,전 4-6,갈 3
10,4,전 7-9,갈 4
10,5,전 10-12,갈 5:1-12
10,6,아 1-6,갈 5:13-26
10,7,아 7-8,갈 6
10,8,사 1-4,엡 1
10,9,사 5-8,엡 2
10,10,사 9-10,엡 3
10,11,사 11-14,엡 4
10,12,사 15-18,엡 5
10,13,사 19-22,엡 6
10,14,사 23-25,빌 1:1-11
10,15,사 26-29,빌 1:12-30
10,16,사 30-31,빌 2
10,17,사 32-35,빌 3
10,18,사 36-37,빌 4
10,19,사 38-40,골 1
10,20,사 41-43,골 2:1-19
10,21,사 44-45,골 2:20-23
10,22,사 46-49,골 3
10,23,사 50-52,골 4
10,24,사 53-57,살전 1-2
10,25,사 58-60,살전 3-4
10,26,사 61-64,살전 5:1-11
10,27,사 65-66,살전 5:12-28
10,28,렘 1-3,살후 1-2
10,29,렘 4-5,살후 3
10,30,렘 6-7,딤전 1
10,31,렘 8-10,딤전 2-3
11,1,렘 11-13,딤전 4
11,2,렘 14-16,딤전 5
11,3,렘 17-19,딤전 6
11,4,렘 20-22,딤후 1
11,5,렘 23-25,딤후 2
11,6,렘 26-27,딤후 3
11,7,렘 28-29,딤후 4
11,8,렘 30-31,딛 1-2
11,9,렘 32-33,딛 3
11,10,렘 34-36,몬 1
11,11,렘 37-38,히 1-2
11,12,렘 39-42,히 3
11,13,렘 43-46,히 4
11,14,렘 47-48,히 5
11,15,렘 49-50,히 6
11,16,렘 51,히 7
11,17,렘 52,히 8:1-9:10
11,18,애 1-3,히 9:11-28
11,19,애 4-5,히 10
11,20,겔 1,히 11:1-22
11,21,겔 2-5,히 11:23-40
11,22,겔 6-8,히 12
11,23,겔 9-12,히 13:1-21
11,24,겔 13-14,히 13:22-25
11,25,겔 15-16,약 1
11,26,겔 17-18,약 2
11,27,겔 19-20,약 3
11,28,겔 21-22,약 4
11,29,겔 23-24,약 5
11,30,겔 25-27,벧전 1
12,1,겔 28-29,벧전 2
12,2,겔 30-32,벧전 3
12,3,겔 33-34,벧전 4
12,4,겔 35-36,벧전 5
12,5,겔 37-39,벧후 1
12,6,겔 40,벧후 2-3
12,7,겔 41-43,요일 1:1-2:6
12,8,겔 44-45,요일 2:7-29
12,9,겔 46-48,요일 3
12,10,단 1-2,요일 4
12,11,단 3,요일 5
12,12,단 4-5,요이 1
12,13,단 6-8,요삼 1
12,14,단 9-10,유 1
12,15,단 11-12,계 1
12,16,호 1-5,계 2
12,17,호 6-9,계 3-4
12,18,호 10-14,계 5-6
12,19,욜 1-3,계 7
12,20,암 1-4,계 8-9
12,21,암 5-9,계 10
12,22,옵 1-욘 1,계 11
12,23,욘 2-4,계 12-13
12,24,미 1-7,계 14
12,25,나 1-3,계 15
12,26,합 1-3,계 16
12,27,습 1-3,계 17-18
12,28,학 1-슥 5,계 19
12,29,슥 6-10,계 20
12,30,슥 11-14,계 21
12,31,말 1-4,계 22
